title,headline,significance,location,address,city,state,zipcode,latitude,longitude,status,subject,earliestbuildingdate,datedestroyed,rennovationsyear,orginalarchitect,additionalarchitect,filename,format,rights,objectid
Liberation of Jane Johnson,,,Center City,211 S. Columbus Blvd.,Philadelphia,PA,19106,39.990821,-75.168428,doubt,,0,0,0,unknown,unknown,https://npgallery.nps.gov/GetAsset/2d7bad29-73e1-4518-9753-e9ffcd3da775/proxyhires?,IMAGE,,dream015
Lombard Street Riot,,,Center City,6th & Lombard,Philadelphia,PA,19147,39.94258,-75.149553,doubt,,9,0,0,unknown,unknown,https://philadelphiaencyclopedia.org/wp-content/uploads/2013/05/RiotIllustration.jpg,JPEG,,dream016
Mayor Richardson Dilworth House,,,Center City,223-225 S. 6th St.,Philadelphia,PA,19106,39.949982,-75.150576,doubt,dwelling,0,0,0,unknown,unknown,https://www.ocfrealty.com/wp-content/uploads/2019/01/IMG_8030.jpg,JPEG,,dream017
Octavius V. Catto House Site,,,Center City,814 South St.,Philadelphia,PA,19147,39.942303,-75.156023,success,dwelling,0,1990,0,unknown,unknown,https://ids.si.edu/ids/deliveryService?id=NPG-NPG_2006_8CattoM-000001,IMAGE,,dream018
Octavius V. Catto School Building #2,,,Center City,2028-2038 Lombard St.,Philadelphia,PA,19146,39.943947,-75.159541,doubt,school,0,0,0,unknown,unknown,https://upload.wikimedia.org/wikipedia/commons/1/1c/Octavius_V_Catto_Secondary_School_Colored_Lombard_Street_above_Twentieth_Philadelphia_PA_%281897%29.jpg,JPEG,,dream019
ODUNDE Festival,,,Center City,23rd and South Sts.,Philadelphia,PA,19146,39.990821,-75.168428,doubt,,0,0,0,unknown,unknown,,,,dream020
Pennsylvania Abolition Society,,,Center City,"Front St., below Chestnut St.",Philadelphia,PA,19106,39.990821,-75.168428,doubt,,0,0,0,unknown,unknown,https://www.blackpast.org/wp-content/uploads/The-Pennsylvania-Abolition-Societry-Executive-Committee-Sophia-Smith-Collection-Smith-College.jpg,JPEG,,dream021
Pennsylvania Hall,,,Center City,6th and Haines Sts.,Philadelphia,PA,,39.990821,-75.168428,doubt,hall,1838,1838,0,unknown,unknown,https://upload.wikimedia.org/wikipedia/commons/c/c8/Pennsylvania_Hall_%28Philadelphia%29.jpg,JPEG,,dream022
Robert Bogle Catering Establishment,,,Center City,112 S. 8th St.,Philadelphia,PA,19107,39.94909,-75.15425,success,caterer,0,0,0,unknown,unknown,https://libwww.freelibrary.org/images/blog/FLPBlog/resized/bogle-portrait.png,JPEG,,dream023
Robert Mara Adger House,,,Center City,823 South St.,Philadelphia,PA,19147,39.943754,-75.166382,doubt,dwelling,0,0,0,unknown,unknown,https://i.pinimg.com/originals/d0/e4/cb/d0e4cb08475f423afd6860cb029abb25.jpg,JPEG,,dream024
Thaddeus Kosciuszko House / Kosciuszko National Memorial,,,Center City,301-303 Pine St.,Philadelphia,PA,19106,39.953331,-75.224626,doubt,dwelling,0,0,0,unknown,unknown,https://www.preservationalliance.com/images/aia/301-3PineSt.jpg,JPEG,Preservation Alliance for Greater Philadelphia,dream025
Wesley A.M.E. Zion Church,,,Center City,1500-1504 Lombard St.,Philadelphia,PA,19146,39.943947,-75.159541,doubt,church,1925,0,0,unknown,unknown,https://www.preservationalliance.com/images/aia/1500-04LombardSt.jpg,JPEG,Preservation Alliance for Greater Philadelphia,dream026
Baker Bowl,,,North,N. Broad and W. Lehigh Ave.,Philadelphia,PA,19132,39.990821,-75.168428,doubt,stadium,1887,1950,0,unknown,unknown,https://www.baseball-almanac.com/images/Baker_Bowl_postcard.jpg,JPEG,,dream027
Black Panthers Headquarters,,,North,1928 Cecil B. Moore Ave.,Philadelphia,PA,19121,39.979651,-75.166851,success,,0,0,0,unknown,unknown,https://images.squarespace-cdn.com/content/v1/57cf18ae6b8f5ba693497e1a/1477071113564-EVO9T7SNVSHGKBO1DDQD/image-asset.jpeg?format=2500w,IMAGE,,dream028
Cyrus Bustill House ,,,North,near 3rd and Green Sts.,Philadelphia,PA,19123,39.990821,-75.168428,doubt,dwelling,0,0,0,unknown,unknown,https://www.hmdb.org/Photos/19/Photo19214.jpg,JPEG,,dream029
David Bustill Bowser House,,,North,841 N. 4th St.,Philadelphia,PA,19123,39.992082,-75.138301,doubt,dwelling,0,0,0,unknown,unknown,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4a/David_Bustill_Bowser.png/220px-David_Bustill_Bowser.png,JPEG,,dream030
Ebenezer Don Carlos Bassett House,,,North,2121 N. 29th St.,Philadelphia,PA,19121,39.988316,-75.180225,success,dwelling,0,0,0,unknown,unknown,,NONE,,dream031
Fair Hill Burial Ground,,,North,2901 Germantown Ave.,Philadelphia,PA,19133,39.99678,-75.146065,success,cemetery,1824,0,0,unknown,unknown,,NONE,,dream032
