title,headline,significance,location,address,city,state,zipcode,latitude,longitude,status,subject,earliestbuildingdate,datedestroyed,rennovationsyear,orginalarchitect,additionalarchitect,filename,format,rights,objectid
Greater Exodus Baptist Church / Our Lady of Blessed Sacrament / Central Presbyterian Church,,,North,708-714 N. Broad St.,Philadelphia,PA,19130,40.010581,-75.150898,doubt,church,1877,0,0,Collins Autenreith,unknown,https://1.bp.blogspot.com/-B9RqF2W50Sk/XQSjxqw1jrI/AAAAAAAAouQ/wJHHBWrYZTUd6sE0d1nuhOI5OSmRe5BDgCLcBGAs/s640/MediaStream%2B%25281%2529.jpg,JPEG,,dream057
Uptown Theater,,,North,2240 N. Broad St.,Philadelphia,PA,19132,39.987403,-75.15652,success,theater,1927,0,0,E. Magiziner,H. Magiziner,https://cdn10.phillymag.com/wp-content/uploads/sites/3/2021/09/Uptown-theater-lede.jpg,JPEG,,dream058
Peter A. B. Widener Mausoleum (Laurel Hill Cemetery),,,North,3822 Ridge Ave.,Philadelphia,PA,19132,39.96086,-75.156768,doubt,mausoleum,1915,0,0,Horace Trumbauer (Julian Abele),unknown,,NONE,,dream059
Wayland Temple Baptist Church / Columbia Avenue Methodist Church,,,North,2500 Cecil B. Moore Ave.,Philadelphia,PA,19121,39.980753,-75.175932,success,church,1888,0,1916,Oscar Frotscher,George Savage,,NONE,,dream060
B.M. Oakley Memorial Temple / Trinity Reformed Church,,,North,1535 N. 7th St.,Philadelphia,PA,19122,39.974826,-75.147168,success,church,1869,0,0,Samuel Sloan,unknown,,NONE,,dream061
Zion Baptist Church / St. Paul Reformed Church / Trinity Reformed Church,,,North,3600 N. Broad St.,Philadelphia,PA,19140,40.007963,-75.152024,success,church,1904,0,1914;1973,Stearns & Castor,"Eshbach, Glass, Kale & Associates",,NONE,,dream062
Freedom Theatre,,,North,1346 N. Broad St.,Philadelphia,PA,19121,40.010581,-75.150898,doubt,theater,0,0,0,Stephen D. Button,unknown,,NONE,,dream063
St. Paul Baptist Church / First Reformed Church Building,,,North,1000 Wallace St.,Philadelphia,PA,19123,39.963493,-75.217236,doubt,church,1888,0,1916;1920;1929,Stuckert & Co.,unknown,,NONE,,dream064
Berean Presbyterian Church Site / Berean Institute,,,North,1906-1926 S. College Ave.,Philadelphia,PA,19121,39.972627,-75.173802,doubt,church,0,0,0,T.P. Chandler,unknown,,NONE,,dream065
Berean Presbyterian Church / Bethlehem Presbyterian Church,,,North,2101 N. Broad St.,Philadelphia,PA,19122,39.98487,-75.156197,success,church,1888,0,1909;1910;1915,T.P. Chandler,J. Franklin Stuckert,,NONE,,dream066
Universal Negro Improvement Association (UNIA),,,North,1609-11 Cecil B. Moore Ave.,Philadelphia,PA,19121,39.979375,-75.161489,success,,1894,0,0,Thomas Lonsdale,unknown,,NONE,,dream067
Girard College,,,North,2101 S. College Ave.,Philadelphia,PA,19121,39.972627,-75.173802,doubt,school,1833,0,1968,Thomas Ustick Walter,unknown,https://media.phillyvoice.com/media/images/01-083115_GirardCollege_Carroll.2e16d0ba.fill-735x490.jpg,JPEG,,dream068
Union A.M.E. Church / Hedding M. E. Church / Calvary Baptist Church,,,North,655 N. 16th St.,Philadelphia,PA,19130,39.966666,-75.163569,success,church,1859,0,1902;1906,Watson & Huckel,C. Davis,,NONE,,dream069
Unity Mission / Charles T. Ellis House,,,North,1430 N. Broad St.,Philadelphia,PA,19121,39.975493,-75.15912,success,dwelling,1891,0,0,William Decker,unknown,,NONE,,dream070
Metropolitan Opera House,,,North,848-860 N. Broad St.,Philadelphia,PA,19130,40.010581,-75.150898,doubt,"opera house, church",1908,1908,0,William McElfatrick,unknown,,NONE,,dream071
Shibe Park / Connie Mack Stadium,,,North,2701 N. 21st St.,Philadelphia,PA,19132,39.983256,-75.168608,doubt,stadium,1908,1909,0,William Steele & Sons Co.,unknown,,NONE,,dream072
Divine Lorraine Hotel,,,North,699 N. Broad St.,Philadelphia,PA,19123,39.966699,-75.160017,success,"hotel, apartment building",1894,0,0,Willis G. Hale,unknown,,NONE,,dream073
Bethany A.M.E. Church,,,Northeast,8820 Ashton Rd.,Philadelphia,PA,19136,40.058183,-75.027363,success,church,1800,0,0, Elias Chase,unknown,,NONE,,dream074
Germantown Historical Society / Fromberger House,,,Northwest,5501-5505 Germantown Ave.,Philadelphia,PA,19144,39.973054,-75.141599,doubt,"dwelling, young women's christian association, church, office building",1796,0,1917;1930;1952-1954,G. Edwin,unknown,https://www.preservationalliance.com/images/aia/5501Germantown.jpg,JPEG,Preservation Alliance for Greater Philadelphia,dream075
Northern Home for Children,,,Northwest,5301 Ridge Ave.,Philadelphia,PA,19128,40.021044,-75.208578,success,,0,0,1927,Horace Trumbauer (Julian Abele),unknown,,,,dream076
Grace Baptist Church Building #1,,,Northwest,34-36 E. Sharpnack St.,Philadelphia,PA,19119,40.049813,-75.183061,success,church,1908,0,0,Jacob Naschold,unknown,https://www.preservationalliance.com/images/aia/34-6ESharpnack.jpg,JPEG,Preservation Alliance for Greater Philadelphia,dream077
Coulter Street School site / Daniel L. Keyser School / Wissahickon Boys and Girls Club,,,Northwest,328 W. Coulter St.,Philadelphia,PA,19144,40.026712,-75.176742,success,school,1887,0,0,Joseph Anshutz,unknown,https://www.preservationalliance.com/images/aia/328WCoulter.jpg,JPEG,Preservation Alliance for Greater Philadelphia,dream078
Galilee Baptist Church Building,,,Northwest,457 Roxborough Ave.,Philadelphia,PA,19128,40.028745,-75.213417,success,church,1900,0,0,Kennedy & Kelsey,unknown,,NONE,,dream079
Thomas Meehan Public School,,,Northwest,5347-5353 Pulaski Ave.,Philadelphia,PA,19144,40.032722,-75.182942,doubt,school,1901,0,0,Lloyd Titus,unknown,https://www.preservationalliance.com/images/aia/5347Pulaski.jpg,JPEG,Preservation Alliance for Greater Philadelphia,dream080
Grace Baptist Church Building #2,,,Northwest,25 W. Johnson St.,Philadelphia,PA,19144,40.037799,-75.190539,doubt,church,1960,0,0,"Mansell, McGettigan & Fugate",unknown,https://www.preservationalliance.com/images/aia/25WJohnson.jpg,JPEG,Preservation Alliance for Greater Philadelphia,dream081
Canaan Baptist Church Building / West Side Presbyterian Church Building,,,Northwest,5430 Pulaski Ave.,Philadelphia,PA,19144,40.028438,-75.177459,success,church,1891,0,0,Mantle Fielding,unknown,https://www.preservationalliance.com/images/aia/5430Pulaski.jpg,JPEG,Preservation Alliance for Greater Philadelphia,dream082
Janes Methodist Church Building,,,Northwest,528 E. Haines St.,Philadelphia,PA,19144,40.04493,-75.169789,success,church,1898,0,0,Rankin and Kellogg,unknown,https://www.preservationalliance.com/images/aia/528EHaines.jpg,JPEG,Preservation Alliance for Greater Philadelphia,dream083
